date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:54	62386/62386	---M--	200	added ('OK')	image/svg+xml	etag:%2247dcd6-f3b2-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/fonts/710463/08415ce2-8df9-4972-b70c-8b8c7720b4e8.svg	./badcamp-2014/sites/all/themes/badcamp/fonts/710463/08415ce2-8df9-4972-b70c-8b8c7720b4e8/index.svg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:55	16684/16684	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2247dcd7-412c-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/fonts/710463/610af915-cf43-4b02-84f5-e4104c7dd109.eot?	./badcamp-2014/sites/all/themes/badcamp/fonts/710463/610af915-cf43-4b02-84f5-e4104c7dd109/index.eot	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:55	1142/1142	---M--	200	added ('OK')	image/jpeg	etag:%2247dd03-476-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/line.jpg	./badcamp-2014/sites/all/themes/badcamp/images/line/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:56	1126/1126	---M--	200	added ('OK')	image/jpeg	etag:%2247dd02-466-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/line-white.jpg	./badcamp-2014/sites/all/themes/badcamp/images/line-white/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:56	19226/19226	---M--	200	added ('OK')	text/plain	etag:%2247dcd9-4b1a-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/fonts/710463/c2b907a4-c36c-4739-9219-d8f04980134a.woff	./badcamp-2014/sites/all/themes/badcamp/fonts/710463/c2b907a4-c36c-4739-9219-d8f04980134a/index.woff	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:56	2197/2197	---M--	200	added ('OK')	image/png	etag:%2247dcf1-895-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/featured-attendees-title.png	./badcamp-2014/sites/all/themes/badcamp/images/featured-attendees-title/index.png	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:56	1058/1058	---M--	200	added ('OK')	image/png	etag:%2247dcf2-422-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/finish-button.png	./badcamp-2014/sites/all/themes/badcamp/images/finish-button/index.png	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:56	190/190	---M--	200	added ('OK')	image/png	etag:%2247dd01-be-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/line-bigger.png	./badcamp-2014/sites/all/themes/badcamp/images/line-bigger/index.png	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:57	2523/2523	---M--	200	added ('OK')	image/png	etag:%2247dd08-9db-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/twitter.png	./badcamp-2014/sites/all/themes/badcamp/images/twitter/index.png	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:12:57	33924/33924	---M--	200	added ('OK')	application/x-font-ttf	etag:%2247dcd8-8484-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/fonts/710463/74f2b5ef-136a-4afe-aa1f-ad3303324ed4.ttf	./badcamp-2014/sites/all/themes/badcamp/fonts/710463/74f2b5ef-136a-4afe-aa1f-ad3303324ed4/index.ttf	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:13:27	203078/203078	---M--	200	added ('OK')	image/jpeg	etag:%2247dce5-31946-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/badcampflag.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/badcampflag/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:13:30	196639/196639	---M--	200	added ('OK')	image/jpeg	etag:%2247dce6-3001f-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/cablecar.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/cablecar/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:13:32	218813/218813	---M--	200	added ('OK')	image/jpeg	etag:%2247dce4-356bd-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/badcamp-collage.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/badcamp-collage/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:13:34	223856/223856	---M--	200	added ('OK')	image/jpeg	etag:%2247dce3-36a70-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/badcamp-collage-community.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/badcamp-collage-community/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:13:36	56203/56203	---M--	200	added ('OK')	image/jpeg	etag:%2247dce7-db8b-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/coderlounge.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/coderlounge/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:13:57	128996/128996	---M--	200	added ('OK')	image/jpeg	etag:%2247dceb-1f7e4-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/interior-map.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/interior-map/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:14:02	181450/181450	---M--	200	added ('OK')	image/jpeg	etag:%2247dce9-2c4ca-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/free-training.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/free-training/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:14:07	231691/231691	---M--	200	added ('OK')	image/jpeg	etag:%2247dce8-3890b-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/drupal-con-paris.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/drupal-con-paris/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:14:10	223849/223849	---M--	200	added ('OK')	image/jpeg	etag:%2247dcea-36a69-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/background/hyatt.jpg	./badcamp-2014/sites/all/themes/badcamp/images/background/hyatt/index.jpg	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:14:10	339/339	---M--	200	added ('OK')	image/png	etag:%2247dd00-153-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/home-color-bands.png	./badcamp-2014/sites/all/themes/badcamp/images/home-color-bands/index.png	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
14:14:11	4234/4234	---M--	200	added ('OK')	image/png	etag:%2247dd09-108a-51289549dcac0%22	http://badcamp-2014/sites/all/themes/badcamp/images/year.png	./badcamp-2014/sites/all/themes/badcamp/images/year/index.png	(from http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css)
